gene,log2FC,pVal,adj.p,-Log10(adj.P),expression
ESYT2,1.39387589857903,1.74948984124139e-07,2.78316183015801e-07,6.55546154037768,Up-regulated
POLR3A,1.39387587273629,9.50020001250623e-06,1.34539321676124e-05,4.87115076628499,Up-regulated
COX4I1,1.39372871848719,1.29162785712633e-87,4.41613714960334e-86,85.3549574474186,Up-regulated
RPS16,1.39311897440069,3.91003049071538e-89,1.45210442706913e-87,86.8380021505305,Up-regulated
ATXN3,1.39263150122992,5.70960616436321e-10,1.07223118378713e-09,8.96971156630514,Up-regulated
TSR3,1.39113990368929,1.26553169007643e-17,3.69370631493854e-17,16.4325376380977,Up-regulated
PSMB9,1.39111513255235,5.10864059835416e-85,1.6182370365963e-83,82.7909578633505,Up-regulated
HACD4,1.39088690912246,6.58373942586454e-23,2.44506460746763e-22,21.6117096607547,Up-regulated
ACAA1,1.39071966240208,2.28879807087582e-14,5.66024230156891e-14,13.2471649772955,Up-regulated
ADCY7,1.39057478735228,1.75901188446765e-10,3.41036147537653e-10,9.46719958627398,Up-regulated
GNG10,1.39014687001241,3.00994344104356e-13,6.91933636286854e-13,12.1599355569544,Up-regulated
NDUFS5,1.39009888849183,3.63228788011013e-53,3.28737314863749e-52,51.4831509964975,Up-regulated
LRP10,1.38989562166302,2.93495660067948e-26,1.24446781847709e-25,24.9050163296207,Up-regulated
NNT,1.38971534950413,7.66711373192526e-10,1.42739524447424e-09,8.84545575447697,Up-regulated
DGKA,1.38897708957644,1.35735448522359e-15,3.58301661908285e-15,14.4457511774439,Up-regulated
ADAT1,1.38862102573529,7.20634373569884e-06,1.02934114102754e-05,4.98744066886006,Up-regulated
CPTP,1.3886210257339,2.18955692009888e-06,3.24144715181648e-06,5.4892610546909,Up-regulated
SNU13,1.38777617924697,5.01335770669097e-94,2.20383112249232e-92,91.6568216881232,Up-regulated
EPRS,1.38743506735843,9.73049841063797e-19,2.99421336807346e-18,17.5237172550033,Up-regulated
IMPDH1,1.38704993350351,2.79992175249487e-08,4.7265136793683e-08,7.3254590808433,Up-regulated
ELOVL5,1.38704993350313,3.34702517353316e-33,1.78012153673837e-32,31.7495503454816,Up-regulated
TRA2B,1.38650440951406,1.77257631398311e-41,1.18208339947976e-40,39.9273518816137,Up-regulated
CBR1,1.385690246744,1.14196517671646e-12,2.54900828046347e-12,11.5936287537211,Up-regulated
MUT,1.38519636485276,3.09509558286424e-05,4.20355352174626e-05,4.37638341855702,Up-regulated
PRKAR1A,1.38496308789494,6.96554127532123e-30,3.26879649390892e-29,28.485612116533,Up-regulated
D2HGDH,1.38478492689635,2.75480899752374e-07,4.32496981098115e-07,6.36401691963733,Up-regulated
THOC5,1.38478492687104,3.80031479002691e-08,6.31139403062295e-08,7.19987470526599,Up-regulated
AIMP1,1.38471070710845,9.44317806943857e-24,3.67822885381025e-23,22.4343612531145,Up-regulated
NDUFS7,1.38457927134328,1.43712805349355e-50,1.1906053181635e-49,48.9242321818851,Up-regulated
PDSS2,1.38413872329703,3.64976465668856e-06,5.32628256809428e-06,5.27357579724577,Up-regulated
GART,1.38365454535921,6.46967920757462e-10,1.21074622181718e-09,8.9169468775129,Up-regulated
GBA,1.38345496258398,8.34583625875509e-08,1.35880055187895e-07,6.8668442854126,Up-regulated
ANP32A,1.38306042689817,6.67228621347269e-35,3.74273554786984e-34,33.4268108579399,Up-regulated
KRR1,1.38286524334363,1.21837906285729e-23,4.72012320394713e-23,22.3260466653286,Up-regulated
ATP5F1E,1.38284223513135,4.33334396604436e-91,1.72852275978881e-89,88.7623248976457,Up-regulated
EXOC7,1.38273027235734,2.86181952954688e-13,6.58585391735469e-13,12.1813879067232,Up-regulated
POLR2L,1.38258378172335,2.65489394893138e-54,2.46493170948198e-53,52.6081951082756,Up-regulated
CHTOP,1.38245222426778,1.169640183396e-21,4.16430571080164e-21,20.3804573954822,Up-regulated
NOP58,1.38198562596801,2.4910037418755e-37,1.47813279889802e-36,35.8302865461592,Up-regulated
GYG1,1.38110219332562,1.4100921901762e-17,4.11006573428895e-17,16.3861512321846,Up-regulated
TBL1XR1,1.38076273642353,4.60018259514227e-20,1.51742623429348e-19,18.8188924118296,Up-regulated
MCCC1,1.38027150062452,1.60832921981899e-05,2.23798616117908e-05,4.6501426033046,Up-regulated
BDH1,1.3802709369573,0.0011547975296567,0.0014045363517112,2.85246701606135,Up-regulated
PDP2,1.38027070792107,0.0215257743303785,0.0239868173345242,1.6200273721134,Up-regulated
PRKD3,1.38027024652367,4.98688935941395e-06,7.1659504203987e-06,5.14472620094548,Up-regulated
SUMF1,1.38027024651732,1.60835774257438e-05,2.23798616117908e-05,4.6501426033046,Up-regulated
AGPS,1.38027021177538,4.74415531658038e-09,8.38302752412972e-09,8.07659910791285,Up-regulated
ATP5ME,1.37929551971119,7.07225257389303e-41,4.64440001346512e-40,39.3330703823531,Up-regulated
PPP2CA,1.37884878216913,1.67589790384648e-33,9.09290701482448e-33,32.0412972500383,Up-regulated
UMPS,1.37868218211826,2.29955826298183e-07,3.63407813533592e-07,6.43960573927883,Up-regulated
ACOX1,1.37834220746546,7.28143230875986e-07,1.11393502791681e-06,5.95314013935986,Up-regulated
ACER3,1.37834175053092,8.15211248699603e-07,1.24184231237549e-06,5.90593354684296,Up-regulated
B3GNT2,1.3780866228201,9.67646633789352e-29,4.38802284038372e-28,27.3577311205169,Up-regulated
MLX,1.37763768206401,1.29674364930674e-15,3.42722186577512e-15,14.465057780028,Up-regulated
PIK3C3,1.37757125734429,4.32926134364346e-12,9.37208938111357e-12,11.0281635782122,Up-regulated
CYCS,1.37700856830768,4.93304827578101e-46,3.70236445506352e-45,44.4315208321978,Up-regulated
SAMHD1,1.37625303978144,1.13676858394808e-12,2.54004100604167e-12,11.5951592721384,Up-regulated
TPR,1.37624186730702,1.8722567669761e-34,1.03672007096826e-33,32.9843384934136,Up-regulated
PCBP2,1.37441867453676,1.71118033213194e-62,2.13056788174116e-61,60.6715046242441,Up-regulated
NUS1,1.37414653151092,2.77976226356565e-09,5.01055055708821e-09,8.30011455142445,Up-regulated
